shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
101:118,47.883000,-122.252970,40009,1435.27
101:118,47.883210,-122.253210,40010,1464.72
101:118,47.883530,-122.253500,40011,1506.41
101:118,47.883680,-122.253630,40012,1525.71
101:118,47.883890,-122.253800,40013,1552.29
101:118,47.884070,-122.253960,40014,1575.60
101:118,47.884330,-122.254180,40015,1608.86
101:118,47.884660,-122.254460,40016,1651.10
101:118,47.884758,-122.254543,40017,1663.60
101:118,47.884860,-122.254630,50002,1676.74
101:118,47.885050,-122.254790,50003,1701.00
101:118,47.886160,-122.255740,50004,1843.40
101:118,47.886220,-122.255790,50005,1851.05
101:118,47.886330,-122.255880,50006,1865.01
101:118,47.886620,-122.256130,50007,1902.29
101:118,47.886890,-122.256360,50008,1936.91
101:118,47.887420,-122.256800,50009,2004.36
101:118,47.887850,-122.257150,50010,2058.89
101:118,47.888300,-122.257520,50011,2116.07
101:118,47.888390,-122.257590,50012,2127.35
101:118,47.888710,-122.257850,50013,2167.89
101:118,47.889020,-122.258100,50014,2207.09
101:118,47.889420,-122.258440,50015,2258.29
101:118,47.888990,-122.258840,50016,2314.71
101:118,47.888840,-122.258980,50017,2334.40
101:118,47.888740,-122.259070,50018,2347.39
101:118,47.888610,-122.259190,50019,2364.39
101:118,47.888540,-122.259260,50020,2373.75
101:118,47.888410,-122.259380,50021,2390.79
101:118,47.888243,-122.259539,50022,2412.86
101:118,47.888220,-122.259560,60002,2415.81
101:118,47.888010,-122.259760,60003,2443.55
101:118,47.887860,-122.259900,60004,2463.24
101:118,47.887440,-122.260280,60005,2517.89
101:118,47.887390,-122.260330,60006,2524.63
101:118,47.887310,-122.260410,60007,2535.36
101:118,47.886870,-122.260820,60008,2593.09
101:118,47.886740,-122.260940,60009,2610.09
101:118,47.886440,-122.261220,60010,2649.50
101:118,47.886300,-122.261350,60011,2667.85
101:118,47.886100,-122.261540,60012,2694.25
101:118,47.886000,-122.261630,60013,2707.23
101:118,47.885470,-122.262130,60014,2777.03
101:118,47.885280,-122.262310,60015,2802.09
101:118,47.884690,-122.262860,60016,2879.51
101:118,47.884560,-122.262980,60017,2896.51
101:118,47.884290,-122.263230,60018,2931.87
101:118,47.884180,-122.263340,60019,2946.62
101:118,47.883960,-122.263540,60020,2975.31
101:118,47.883780,-122.263710,60021,2999.02
101:118,47.883590,-122.263890,60022,3024.07
101:118,47.883120,-122.264330,60023,3085.83
101:118,47.882899,-122.264528,60024,3114.54
101:118,47.882650,-122.264750,70002,3146.82
101:118,47.882550,-122.264850,70003,3160.20
101:118,47.882460,-122.264940,70004,3172.27
101:118,47.882280,-122.265100,70005,3195.58
101:118,47.882160,-122.265210,70006,3211.25
101:118,47.881800,-122.265530,70007,3257.92
101:118,47.881520,-122.265810,70008,3295.44
101:118,47.881200,-122.266100,70009,3337.10
101:118,47.880990,-122.266300,70010,3364.84
101:118,47.880910,-122.266380,70011,3375.54
101:118,47.880580,-122.266680,70012,3418.55
101:118,47.880450,-122.266800,70013,3435.55
101:118,47.880260,-122.266980,70014,3460.61
101:118,47.880070,-122.267160,70015,3485.66
101:118,47.879990,-122.267230,70016,3495.96
101:118,47.879820,-122.267390,70017,3518.34
101:118,47.879630,-122.267570,70018,3543.39
101:118,47.879467,-122.267726,70019,3564.97
101:118,47.879390,-122.267800,80002,3575.12
101:118,47.879190,-122.267990,80003,3601.52
101:118,47.879120,-122.268050,80004,3610.51
101:118,47.878870,-122.268280,80005,3643.21
101:118,47.878590,-122.268540,80006,3679.91
101:118,47.878240,-122.268870,80007,3726.00
101:118,47.878040,-122.269060,80008,3752.36
101:118,47.877770,-122.269310,80009,3787.75
101:118,47.877630,-122.269440,80010,3806.07
101:118,47.877520,-122.269540,80011,3820.42
101:118,47.877270,-122.269780,80012,3853.53
101:118,47.877210,-122.269830,80013,3861.18
101:118,47.877020,-122.270000,80014,3885.83
101:118,47.876660,-122.270340,80015,3933.26
101:118,47.876530,-122.270460,80016,3950.27
101:118,47.876220,-122.270750,80017,3990.99
101:118,47.876150,-122.270810,80018,3999.95
101:118,47.875760,-122.271170,80019,4051.01
101:118,47.875620,-122.271290,80020,4068.96
101:118,47.875550,-122.271350,80021,4077.95
101:118,47.875280,-122.271600,80022,4113.31
101:118,47.875160,-122.271710,80023,4129.00
101:118,47.875080,-122.271780,80024,4139.31
101:118,47.874980,-122.271870,80025,4152.32
101:118,47.874900,-122.271950,80026,4163.05
101:118,47.874800,-122.272050,80027,4176.43
101:118,47.874660,-122.272180,80028,4194.78
101:118,47.874520,-122.272310,80029,4213.13
101:118,47.874360,-122.272460,80030,4234.16
101:118,47.874220,-122.272590,80031,4252.48
101:118,47.874130,-122.272680,80032,4264.55
101:118,47.874020,-122.272780,80033,4278.87
101:118,47.873843,-122.272949,80034,4302.31
101:118,47.873800,-122.272990,90002,4307.95
101:118,47.873700,-122.273090,90003,4321.33
101:118,47.873540,-122.273240,90004,4342.36
101:118,47.873350,-122.273430,90005,4367.81
101:118,47.873010,-122.273750,90006,4412.53
101:118,47.872600,-122.274130,90007,4466.26
101:118,47.872450,-122.274260,90008,4485.56
101:118,47.872380,-122.274330,90009,4494.95
101:118,47.872270,-122.274430,90010,4509.27
101:118,47.872170,-122.274520,90011,4522.26
101:118,47.871990,-122.274690,90012,4546.00
101:118,47.871760,-122.274910,90013,4576.42
101:118,47.871660,-122.275000,90014,4589.40
101:118,47.871600,-122.275060,90015,4597.45
101:118,47.871500,-122.275150,90016,4610.47
101:118,47.871380,-122.275270,90017,4626.56
101:118,47.871240,-122.275400,90018,4644.91
101:118,47.871160,-122.275480,90019,4655.64
101:118,47.870970,-122.275660,90020,4680.69
101:118,47.870930,-122.275790,90021,4691.36
101:118,47.870880,-122.275830,90022,4697.70
101:118,47.870560,-122.276140,90023,4740.16
101:118,47.870240,-122.276450,90024,4782.62
101:118,47.870060,-122.276630,90025,4806.76
101:118,47.869850,-122.276820,90026,4834.10
101:118,47.869520,-122.277120,90027,4877.07
101:118,47.869400,-122.277230,90028,4892.77
101:118,47.869290,-122.277330,90029,4907.13
101:118,47.869210,-122.277410,90030,4917.83
101:118,47.868850,-122.277750,90031,4965.25
101:118,47.868720,-122.277870,90032,4982.29
101:118,47.868460,-122.278110,90033,5016.31
101:118,47.868270,-122.278290,90034,5041.36
101:118,47.868040,-122.278500,90035,5071.35
101:118,47.867840,-122.278690,90036,5097.75
101:118,47.867690,-122.278830,90037,5117.47
101:118,47.867600,-122.278910,90038,5129.11
101:118,47.867520,-122.278980,90039,5139.45
101:118,47.867410,-122.279000,90040,5151.76
101:118,47.866980,-122.279370,90041,5207.02
101:118,47.866790,-122.279550,90042,5232.07
101:118,47.866580,-122.279740,90043,5259.38
101:118,47.866460,-122.279850,90044,5275.08
101:118,47.866130,-122.280160,90045,5318.49
101:118,47.865960,-122.280320,90046,5340.83
101:118,47.865610,-122.280640,90047,5386.55
101:118,47.865390,-122.280860,90048,5416.02
101:118,47.865020,-122.281200,90049,5464.39
101:118,47.864730,-122.281470,90050,5502.43
101:118,47.864680,-122.281510,90051,5508.77
101:118,47.864230,-122.281940,90052,5568.24
101:118,47.863820,-122.282310,90053,5621.55
101:118,47.863730,-122.282400,90054,5633.62
101:118,47.863630,-122.282490,90055,5646.63
101:118,47.863590,-122.282530,90056,5652.00
101:118,47.863440,-122.282670,90057,5671.69
101:118,47.863294,-122.282804,90058,5690.71
101:118,47.863190,-122.282900,100002,5704.39
101:118,47.863100,-122.282980,100003,5716.04
101:118,47.862960,-122.283110,100004,5734.39
101:118,47.862920,-122.283150,100005,5739.75
101:118,47.862770,-122.283290,100006,5759.44
101:118,47.862590,-122.283460,100007,5783.18
101:118,47.862330,-122.283710,100008,5817.63
101:118,47.862260,-122.283770,100009,5826.59
101:118,47.862210,-122.283820,100010,5833.29
101:118,47.861910,-122.284100,100011,5872.67
101:118,47.861850,-122.284150,100012,5880.32
101:118,47.861790,-122.284210,100013,5888.37
101:118,47.861650,-122.284330,100014,5906.32
101:118,47.861620,-122.284360,100015,5910.32
101:118,47.861490,-122.284480,100016,5927.35
101:118,47.861400,-122.284560,100017,5939.00
101:118,47.861260,-122.284690,100018,5957.38
101:118,47.861150,-122.284790,100019,5971.70
101:118,47.861000,-122.284940,100020,5991.82
101:118,47.860920,-122.285010,100021,6002.15
101:118,47.860770,-122.285150,100022,6021.84
101:118,47.860480,-122.285420,100023,6059.91
101:118,47.860450,-122.285450,100024,6063.93
101:118,47.860441,-122.285458,100025,6065.09
101:118,47.860260,-122.285630,110002,6088.96
101:118,47.860010,-122.285860,110003,6121.66
101:118,47.859550,-122.286290,110004,6182.11
101:118,47.859390,-122.286440,110005,6203.14
101:118,47.859240,-122.286580,110006,6222.83
101:118,47.859070,-122.286740,110007,6245.20
101:118,47.858930,-122.286870,110008,6263.55
101:118,47.858730,-122.287060,110009,6289.94
101:118,47.858550,-122.287230,110010,6313.66
101:118,47.858360,-122.287410,110011,6338.71
101:118,47.858130,-122.287620,110012,6368.70
101:118,47.858010,-122.287730,110013,6384.40
101:118,47.857740,-122.287980,110014,6419.76
101:118,47.857580,-122.288130,110015,6440.79
101:118,47.857360,-122.288330,110016,6469.47
101:118,47.856930,-122.288740,110017,6526.29
101:118,47.856650,-122.289000,110018,6562.98
101:118,47.856457,-122.289179,110019,6588.25
101:118,47.856220,-122.289400,120002,6619.37
101:118,47.856130,-122.289490,120003,6631.44
101:118,47.855390,-122.290170,120004,6728.19
101:118,47.855290,-122.290270,120005,6741.57
101:118,47.855060,-122.290480,120006,6771.59
101:118,47.854990,-122.290550,120007,6780.98
101:118,47.854660,-122.290860,120008,6824.38
101:118,47.854450,-122.291040,120009,6851.32
101:118,47.854400,-122.291090,120010,6858.03
101:118,47.854010,-122.291410,120011,6907.56
101:118,47.853690,-122.291640,120012,6947.06
101:118,47.853640,-122.291680,120013,6953.40
101:118,47.853530,-122.291760,120014,6967.00
101:118,47.853300,-122.291900,120015,6994.64
101:118,47.853080,-122.292040,120016,7021.22
101:118,47.852950,-122.292110,120017,7036.61
101:118,47.852610,-122.292280,120018,7076.51
101:118,47.852530,-122.292310,120019,7085.72
101:118,47.852340,-122.292390,120020,7107.66
101:118,47.852260,-122.292420,120021,7116.84
101:118,47.851810,-122.292620,120022,7169.08
101:118,47.851710,-122.292660,120023,7180.60
101:118,47.851692,-122.292667,120024,7182.64
101:118,47.851570,-122.292710,130002,7196.60
101:118,47.851340,-122.292800,130003,7223.06
101:118,47.851280,-122.292830,130004,7230.10
101:118,47.851070,-122.292910,130005,7254.21
101:118,47.850730,-122.293040,130006,7293.25
101:118,47.850170,-122.293260,130007,7357.66
101:118,47.849640,-122.293470,130008,7418.68
101:118,47.849420,-122.293560,130009,7444.04
101:118,47.849320,-122.293600,130010,7455.56
101:118,47.849090,-122.293690,130011,7481.99
101:118,47.848920,-122.293760,130012,7501.62
101:118,47.848790,-122.293810,130013,7516.55
101:118,47.848670,-122.293860,130014,7530.39
101:118,47.848500,-122.293920,130015,7549.80
101:118,47.847950,-122.294140,130016,7613.14
101:118,47.847880,-122.294170,130017,7621.25
101:118,47.847820,-122.294190,130018,7628.08
101:118,47.847730,-122.294220,130019,7638.35
101:118,47.847620,-122.294270,130020,7651.12
101:118,47.847540,-122.294300,130021,7660.32
101:118,47.847320,-122.294380,130022,7685.50
101:118,47.847180,-122.294430,130023,7701.53
101:118,47.847110,-122.294460,130024,7709.64
101:118,47.847030,-122.294490,130025,7718.82
101:118,47.846540,-122.294680,130026,7775.11
101:118,47.846160,-122.294840,130027,7819.06
101:118,47.845980,-122.294910,130028,7839.73
101:118,47.845940,-122.294920,130029,7844.21
101:118,47.845820,-122.294970,130030,7858.05
101:118,47.845595,-122.295055,130031,7883.87
101:118,47.845530,-122.295080,140002,7891.33
101:118,47.845500,-122.295090,140003,7894.75
101:118,47.845340,-122.295150,140004,7913.10
101:118,47.845200,-122.295210,140005,7929.28
101:118,47.845010,-122.295290,140006,7951.26
101:118,47.844870,-122.295350,140007,7967.44
101:118,47.844650,-122.295440,140008,7992.83
101:118,47.844570,-122.295470,140009,8002.01
101:118,47.844340,-122.295570,140010,8028.65
101:118,47.844010,-122.295710,140011,8066.81
101:118,47.843970,-122.295730,140012,8071.50
101:118,47.843930,-122.295750,140013,8076.19
101:118,47.843600,-122.295910,140014,8114.78
101:118,47.843510,-122.295970,140015,8125.72
101:118,47.843350,-122.296070,140016,8145.02
101:118,47.842920,-122.296360,140017,8197.53
101:118,47.842590,-122.296620,140018,8239.05
101:118,47.842460,-122.296720,140019,8255.36
101:118,47.841980,-122.297130,140020,8316.89
101:118,47.841660,-122.297400,140021,8357.83
101:118,47.841440,-122.297600,140022,8386.51
101:118,47.841030,-122.297950,140023,8439.09
101:118,47.840680,-122.298250,140024,8484.02
101:118,47.840620,-122.298300,140025,8491.67
101:118,47.840490,-122.298420,140026,8508.67
101:118,47.840475,-122.298433,140027,8510.59
101:118,47.840350,-122.298540,150002,8526.66
101:118,47.840160,-122.298700,150003,8550.95
101:118,47.840010,-122.298830,150004,8570.21
101:118,47.839880,-122.298940,150005,8586.86
101:118,47.839840,-122.298980,150006,8592.22
101:118,47.839170,-122.299560,150007,8678.45
101:118,47.838930,-122.299760,150008,8709.05
101:118,47.838820,-122.299860,150009,8723.38
101:118,47.838700,-122.299960,150010,8738.68
101:118,47.838580,-122.300060,150011,8753.98
101:118,47.838550,-122.300090,150012,8758.00
101:118,47.838470,-122.300160,150013,8768.33
101:118,47.838210,-122.300380,150014,8801.59
101:118,47.838115,-122.300464,150015,8813.84
101:118,47.838030,-122.300540,160002,8824.90
101:118,47.837810,-122.300730,160003,8853.16
101:118,47.837390,-122.301090,160004,8907.08
101:118,47.837340,-122.301140,160005,8913.78
101:118,47.836820,-122.301580,160006,8980.32
101:118,47.836760,-122.301630,160007,8987.97
101:118,47.836640,-122.301730,160008,9003.27
101:118,47.836560,-122.301800,160009,9013.61
101:118,47.836360,-122.301980,160010,9039.61
101:118,47.836200,-122.302120,160011,9060.24
101:118,47.835930,-122.302350,160012,9094.84
101:118,47.835860,-122.302410,160013,9103.80
101:118,47.835590,-122.302650,160014,9138.82
101:118,47.835380,-122.302830,160015,9165.76
101:118,47.835120,-122.303060,160016,9199.41
101:118,47.835040,-122.303130,160017,9209.75
101:118,47.834930,-122.303220,160018,9223.70
101:118,47.834914,-122.303234,160019,9225.75
101:118,47.834690,-122.303430,170002,9254.67
101:118,47.834630,-122.303480,170003,9262.32
101:118,47.834560,-122.303540,170004,9271.28
101:118,47.834470,-122.303620,170005,9282.96
101:118,47.834360,-122.303720,170006,9297.28
101:118,47.834180,-122.303880,170007,9320.60
101:118,47.833970,-122.304060,170008,9347.58
101:118,47.833840,-122.304170,170009,9364.22
101:118,47.833470,-122.304490,170010,9411.83
101:118,47.833230,-122.304700,170011,9442.80
101:118,47.833010,-122.304890,170012,9471.11
101:118,47.832780,-122.305090,170013,9500.74
101:118,47.832660,-122.305200,170014,9516.43
101:118,47.832470,-122.305360,170015,9540.70
101:118,47.832190,-122.305600,170016,9576.63
101:118,47.832090,-122.305690,170017,9589.62
101:118,47.831950,-122.305810,170018,9607.57
101:118,47.831870,-122.305880,170019,9617.90
101:118,47.831750,-122.305980,170020,9633.17
101:118,47.831610,-122.306100,170021,9651.16
101:118,47.831540,-122.306160,170022,9660.12
101:118,47.831120,-122.306520,170023,9714.04
101:118,47.830930,-122.306690,170024,9738.69
101:118,47.830630,-122.306950,170025,9777.31
101:118,47.830470,-122.307090,170026,9797.95
101:118,47.830270,-122.307260,170027,9823.55
101:118,47.830200,-122.307320,170028,9832.54
101:118,47.829860,-122.307620,170029,9876.53
101:118,47.829190,-122.308200,170030,9962.75
101:118,47.828970,-122.308390,170031,9991.04
101:118,47.828830,-122.308510,170032,10009.02
101:118,47.828350,-122.308920,170033,10070.56
101:118,47.827860,-122.309350,170034,10133.84
101:118,47.827750,-122.309440,170035,10147.80
101:118,47.827607,-122.309564,170036,10166.21
101:118,47.827520,-122.309640,180002,10177.42
101:118,47.827440,-122.309700,180003,10187.39
101:118,47.827280,-122.309840,180004,10208.03
101:118,47.827190,-122.309920,180005,10219.70
101:118,47.827010,-122.310070,180006,10242.65
101:118,47.826960,-122.310110,180007,10248.99
101:118,47.826860,-122.310200,180008,10261.98
101:118,47.826630,-122.310400,180009,10291.63
101:118,47.826550,-122.310470,180010,10301.97
101:118,47.826380,-122.310630,180011,10324.34
101:118,47.826300,-122.310700,180012,10334.67
101:118,47.826060,-122.310900,180013,10365.27
101:118,47.825890,-122.311050,180014,10387.25
101:118,47.825790,-122.311140,180015,10400.23
101:118,47.825590,-122.311310,180016,10425.87
101:118,47.825210,-122.311640,180017,10474.82
101:118,47.825020,-122.311800,180018,10499.08
101:118,47.824750,-122.312030,180019,10533.70
101:118,47.824741,-122.312038,180020,10534.92
101:118,47.824470,-122.312280,190002,10570.04
101:118,47.824410,-122.312330,190003,10577.69
101:118,47.824310,-122.312420,190004,10590.67
101:118,47.824150,-122.312560,190005,10611.31
101:118,47.824010,-122.312680,190006,10629.29
101:118,47.823960,-122.312720,190007,10635.60
101:118,47.823880,-122.312790,190008,10645.93
101:118,47.823800,-122.312860,190009,10656.26
101:118,47.823620,-122.313010,190010,10679.22
101:118,47.823530,-122.313090,190011,10690.86
101:118,47.823470,-122.313140,190012,10698.51
101:118,47.823360,-122.313240,190013,10712.84
101:118,47.823270,-122.313310,190014,10724.14
101:118,47.823080,-122.313470,190015,10748.44
101:118,47.822970,-122.313560,190016,10762.37
101:118,47.822780,-122.313720,190017,10786.66
101:118,47.822660,-122.313820,190018,10801.96
101:118,47.822570,-122.313900,190019,10813.60
101:118,47.822450,-122.314010,190020,10829.30
101:118,47.822320,-122.314120,190021,10845.94
101:118,47.822130,-122.314280,190022,10870.20
101:118,47.821890,-122.314490,190023,10901.17
101:118,47.821730,-122.314630,190024,10921.81
101:118,47.821550,-122.314790,190025,10945.15
101:118,47.821190,-122.315100,190026,10991.39
101:118,47.820850,-122.315400,190027,11035.38
101:118,47.820440,-122.315750,190028,11087.98
101:118,47.820422,-122.315765,190029,11090.24
101:118,47.820370,-122.315810,200002,11096.94
101:118,47.820160,-122.315990,200003,11123.92
101:118,47.819810,-122.316300,200004,11169.21
101:118,47.819700,-122.316390,200005,11183.17
101:118,47.819650,-122.316430,200006,11189.48
101:118,47.819520,-122.316540,200007,11206.12
101:118,47.819210,-122.316810,200008,11246.08
101:118,47.819070,-122.316930,200009,11264.04
101:118,47.818980,-122.317010,200010,11275.71
101:118,47.818750,-122.317210,200011,11305.34
101:118,47.818550,-122.317380,200012,11330.97
101:118,47.818480,-122.317440,200013,11339.93
101:118,47.818310,-122.317580,200014,11361.54
101:118,47.818080,-122.317790,200015,11391.56
101:118,47.817840,-122.318000,200016,11422.56
101:118,47.817570,-122.318230,200017,11457.16
101:118,47.817420,-122.318350,200018,11476.12
101:118,47.817183,-122.318556,200019,11506.63
101:118,47.816870,-122.318830,210002,11547.04
101:118,47.816690,-122.318990,210003,11570.39
101:118,47.816490,-122.319160,210004,11596.02
101:118,47.816370,-122.319270,210005,11611.69
101:118,47.816290,-122.319340,210006,11622.02
101:118,47.816210,-122.319400,210007,11631.99
101:118,47.815810,-122.319740,210008,11683.23
101:118,47.815390,-122.320110,210009,11737.54
101:118,47.815280,-122.320210,210010,11751.87
101:118,47.815205,-122.320275,210011,11761.53
101:118,47.815130,-122.320340,220002,11771.16
101:118,47.815080,-122.320380,220003,11777.47
101:118,47.814930,-122.320510,220004,11796.80
101:118,47.814860,-122.320570,220005,11805.79
101:118,47.814660,-122.320740,220006,11831.42
101:118,47.814590,-122.320800,220007,11840.38
101:118,47.814480,-122.320900,220008,11854.74
101:118,47.814020,-122.321300,220009,11914.02
101:118,47.813820,-122.321460,220010,11939.26
101:118,47.813720,-122.321540,220011,11951.88
101:118,47.813640,-122.321600,220012,11961.85
101:118,47.813560,-122.321660,220013,11971.81
101:118,47.813390,-122.321800,220014,11993.42
101:118,47.813320,-122.321850,220015,12002.08
101:118,47.813110,-122.322020,220016,12028.66
101:118,47.813050,-122.322070,220017,12036.31
101:118,47.812950,-122.322140,220018,12048.59
101:118,47.812750,-122.322290,220019,12073.49
101:118,47.812680,-122.322340,220020,12082.15
101:118,47.812330,-122.322590,220021,12125.34
101:118,47.812240,-122.322660,220022,12136.65
101:118,47.812040,-122.322800,220023,12161.21
101:118,47.811780,-122.322990,220024,12193.46
101:118,47.811690,-122.323050,220025,12204.44
101:118,47.811410,-122.323250,220026,12239.00
101:118,47.811360,-122.323290,220027,12245.31
101:118,47.811180,-122.323420,220028,12267.56
101:118,47.811050,-122.323520,220029,12283.87
101:118,47.810630,-122.323820,220030,12335.65
101:118,47.810460,-122.323940,220031,12356.56
101:118,47.810180,-122.324140,220032,12391.13
101:118,47.810030,-122.324250,220033,12409.75
101:118,47.809900,-122.324350,220034,12426.03
101:118,47.809830,-122.324400,220035,12434.68
101:118,47.809760,-122.324450,220036,12443.34
101:118,47.809690,-122.324500,220037,12451.96
101:118,47.809652,-122.324525,220038,12456.60
101:118,47.809630,-122.324540,230002,12459.31
101:118,47.809390,-122.324720,230003,12489.21
101:118,47.809320,-122.324770,230004,12497.84
101:118,47.809260,-122.324820,230005,12505.49
101:118,47.809080,-122.324950,230006,12527.74
101:118,47.808830,-122.325130,230007,12558.61
101:118,47.808750,-122.325190,230008,12568.58
101:118,47.808390,-122.325440,230009,12612.78
101:118,47.808340,-122.325480,230010,12619.12
101:118,47.808190,-122.325590,230011,12637.68
101:118,47.808090,-122.325660,230012,12649.99
101:118,47.807860,-122.325820,230013,12678.25
101:118,47.807710,-122.325930,230014,12696.87
101:118,47.807600,-122.326010,230015,12710.46
101:118,47.807450,-122.326120,230016,12729.09
101:118,47.807260,-122.326250,230017,12752.34
101:118,47.807130,-122.326340,230018,12768.28
101:118,47.806850,-122.326540,230019,12802.82
101:118,47.806400,-122.326870,230020,12858.66
101:118,47.806180,-122.327030,230021,12885.88
101:118,47.806090,-122.327090,230022,12896.85
101:118,47.805850,-122.327270,230023,12926.75
101:118,47.805600,-122.327450,230024,12957.66
101:118,47.805490,-122.327530,230025,12971.25
101:118,47.805327,-122.327647,230026,12991.37
101:118,47.804860,-122.327980,240002,13048.98
101:118,47.804830,-122.328000,240003,13052.60
101:118,47.804760,-122.328050,240004,13061.26
101:118,47.804580,-122.328190,240005,13083.87
101:118,47.804470,-122.328270,240006,13097.50
101:118,47.804420,-122.328310,240007,13103.81
101:118,47.804190,-122.328470,240008,13132.06
101:118,47.804140,-122.328510,240009,13138.37
101:118,47.804020,-122.328590,240010,13152.97
101:118,47.803890,-122.328680,240011,13168.94
101:118,47.803740,-122.328790,240012,13187.57
101:118,47.803580,-122.328900,240013,13207.17
101:118,47.803370,-122.329050,240014,13233.10
101:118,47.803220,-122.329160,240015,13251.73
101:118,47.802860,-122.329430,240016,13296.56
101:118,47.802570,-122.329640,240017,13332.41
101:118,47.802520,-122.329680,240018,13338.75
101:118,47.802474,-122.329712,240019,13344.42
101:118,47.802350,-122.329800,250002,13359.66
101:118,47.802270,-122.329850,250003,13369.29
101:118,47.802160,-122.329930,250004,13382.94
101:118,47.802020,-122.330030,250005,13400.23
101:118,47.801800,-122.330190,250006,13427.45
101:118,47.801610,-122.330330,250007,13451.07
101:118,47.801230,-122.330610,250008,13498.22
101:118,47.800890,-122.330850,250009,13540.07
101:118,47.800550,-122.331090,250010,13581.92
101:118,47.800510,-122.331120,250011,13586.89
101:118,47.799900,-122.331560,250012,13662.29
101:118,47.799630,-122.331750,250013,13695.52
101:118,47.799290,-122.331990,250014,13737.37
101:118,47.799230,-122.332030,250015,13744.68
101:118,47.799150,-122.332090,250016,13754.65
101:118,47.799070,-122.332140,250017,13764.28
101:118,47.798860,-122.332293,250018,13790.25
101:118,47.798630,-122.332460,260002,13818.75
101:118,47.798260,-122.332730,260003,13864.59
101:118,47.797990,-122.332920,260004,13897.81
101:118,47.797910,-122.332980,260005,13907.78
101:118,47.797750,-122.333090,260006,13927.38
101:118,47.797580,-122.333210,260007,13948.29
101:118,47.797470,-122.333290,260008,13961.88
101:118,47.797340,-122.333380,260009,13977.82
101:118,47.797100,-122.333560,260010,14007.72
101:118,47.796840,-122.333760,260011,14040.31
101:118,47.796770,-122.333810,260012,14048.93
101:118,47.796720,-122.333850,260013,14055.27
101:118,47.796410,-122.334070,260014,14093.46
101:118,47.796270,-122.334180,260015,14111.05
101:118,47.795990,-122.334380,260016,14145.62
101:118,47.795550,-122.334690,260017,14199.78
101:118,47.795498,-122.334729,260018,14206.27
101:118,47.795470,-122.334750,270002,14209.71
101:118,47.795350,-122.334830,270003,14224.34
101:118,47.795210,-122.334930,270004,14241.63
101:118,47.795020,-122.335070,270005,14265.22
101:118,47.794840,-122.335200,270006,14287.47
101:118,47.794730,-122.335280,270007,14301.09
101:118,47.794600,-122.335370,270008,14317.07
101:118,47.794400,-122.335520,270009,14341.97
101:118,47.794290,-122.335590,270010,14355.26
101:118,47.794110,-122.335720,270011,14377.51
101:118,47.793760,-122.335980,270012,14421.03
101:118,47.793300,-122.336310,270013,14477.85
101:118,47.793200,-122.336380,270014,14490.13
